date,room_type,season,available_rooms,booked_rooms,cancelled_bookings,occupancy_rate,avg_daily_rate,revenue,booking_window,day_type
2025-01-01,standard,low,80,60,1,0.7637699576133831,92.10790076075766,6835.595841263303,3,weekday
2025-01-01,deluxe,low,40,25,1,0.6527508019770908,138.90234755093206,3229.9676034162053,3,weekday
2025-01-01,suite,low,20,10,0,0.5003322883302149,198.99777936835258,1718.9356317209424,1,weekday
2025-01-02,standard,low,80,42,1,0.5393410461117698,79.71083931526421,3403.5581674073123,7,weekday
2025-01-02,deluxe,low,40,17,1,0.46770939917522464,129.9233702549144,2009.7029369391885,14,weekday
2025-01-02,suite,low,20,9,0,0.45755642286813264,223.4454418517286,1642.739845786027,7,weekday
2025-01-03,standard,low,80,54,4,0.7299295263877466,83.19793677109273,4990.343641862195,14,weekday
2025-01-03,deluxe,low,40,23,0,0.5952573990095906,127.81968418535979,2622.417341403407,3,weekday
2025-01-03,suite,low,20,8,0,0.4440144235152545,224.23824839242164,1611.75582276309,14,weekday
2025-01-04,standard,low,80,73,4,0.9716064921335681,99.28024152952071,6911.307092680252,14,weekend
2025-01-04,deluxe,low,40,32,1,0.8458172240390699,163.3147868013428,5863.021088626461,3,weekend
2025-01-04,suite,low,20,16,0,0.8146461125389954,265.5086385157399,5228.207003651365,14,weekend
2025-01-05,standard,low,80,72,1,0.9225831595751793,106.54256628286464,7771.226327171193,1,weekend
2025-01-05,deluxe,low,40,28,2,0.7616169867737005,160.01243625916848,4132.043558137261,3,weekend
2025-01-05,suite,low,20,11,0,0.5749187748358521,224.36995079890255,2271.946711878123,14,weekend
2025-01-06,standard,low,80,60,4,0.8040018027356584,91.7838741558022,5236.365538287586,14,weekday
2025-01-06,deluxe,low,40,23,0,0.5978450825311656,128.11906927457215,2321.129454897799,7,weekday
2025-01-06,suite,low,20,8,0,0.42485914092973465,230.82945151604082,1894.9928530677387,3,weekday
2025-01-07,standard,low,80,58,3,0.7724359311998122,92.77914103452632,5429.806712143647,3,weekday
2025-01-07,deluxe,low,40,30,2,0.816319373196608,154.44728460625137,3821.172365485695,3,weekday
2025-01-07,suite,low,20,11,0,0.5725418912259695,237.84679300138245,2846.6251512375416,7,weekday
2025-01-08,standard,low,80,71,2,0.9147459175338212,100.30640950197397,6583.9105304411805,3,weekday
2025-01-08,deluxe,low,40,17,1,0.45174670351456664,126.68190221037538,1900.5710942628625,3,weekday
2025-01-08,suite,low,20,9,0,0.47787836942122075,219.58200404424653,2363.7218209005086,7,weekday
2025-01-09,standard,low,80,37,2,0.4905754896250509,80.28615893613166,2419.4172620349323,7,weekday
2025-01-09,deluxe,low,40,18,1,0.47511988950278705,123.6391906909572,2303.037712147546,14,weekday
2025-01-09,suite,low,20,9,0,0.479207635915955,209.397542342616,1547.8122480107063,7,weekday
2025-01-10,standard,low,80,60,2,0.7825610836150145,97.41643653049799,6206.891014559064,14,weekday
2025-01-10,deluxe,low,40,26,0,0.6580196808384684,154.65468949265122,3974.5177771866474,3,weekday
2025-01-10,suite,low,20,10,0,0.5336971111304664,221.536793503604,3119.2942674664923,7,weekday
2025-01-11,standard,low,80,54,3,0.7174355425001796,87.00827581434348,4540.957689529576,3,weekend
2025-01-11,deluxe,low,40,33,1,0.8521010783322347,151.95972494246968,3875.201873515518,30,weekend
2025-01-11,suite,low,20,11,0,0.5564331698417223,236.86956515666557,2260.122987877133,7,weekend
2025-01-12,standard,low,80,78,2,1.0,105.43114944139313,8915.38229571488,7,weekend
2025-01-12,deluxe,low,40,35,2,0.9462513770179471,171.65732074562675,6472.1676820064695,14,weekend
2025-01-12,suite,low,20,19,1,1.0,282.5320383089562,5979.2431223773765,14,weekend
2025-01-13,standard,low,80,47,2,0.6145197357159268,84.54967288740445,4382.897301721291,7,weekday
2025-01-13,deluxe,low,40,15,1,0.4231741196181118,124.42540145433323,1564.658661831877,3,weekday
2025-01-13,suite,low,20,8,0,0.4236014370546306,217.39096492949267,2298.416608635919,7,weekday
2025-01-14,standard,low,80,76,4,1.0,101.35285414092647,8687.737601200117,3,weekday
2025-01-14,deluxe,low,40,19,1,0.5022857848372045,129.43250434776712,2016.4490783217357,7,weekday
2025-01-14,suite,low,20,8,0,0.4314188785488927,197.07756847076834,1793.688548627027,14,weekday
2025-01-15,standard,low,80,73,3,0.9548609879112976,105.96318846194686,8250.275070421789,14,weekday
2025-01-15,deluxe,low,40,26,1,0.6878370637372472,143.00959798744972,3022.3141598833463,7,weekday
2025-01-15,suite,low,20,12,0,0.6117854685807701,219.02412669509474,3086.85918537557,7,weekday
2025-01-16,standard,low,80,55,1,0.7065780242361153,90.19495350329362,4674.007371567799,7,weekday
2025-01-16,deluxe,low,40,23,1,0.6207130579600407,143.71946790527,3230.2878296453064,7,weekday
2025-01-16,suite,low,20,11,0,0.5544995411363932,230.2848499750893,2296.526211648597,1,weekday
2025-01-17,standard,low,80,38,2,0.500467106537644,78.05041737517159,3124.7475440836592,3,weekday
2025-01-17,deluxe,low,40,20,1,0.5388355226561916,127.64070319618949,2338.3083582600475,14,weekday
2025-01-17,suite,low,20,11,0,0.5678796406874445,235.67418549051078,2805.161644386165,14,weekday
2025-01-18,standard,low,80,71,4,0.9416907402804636,106.42307076207958,7579.843898012069,14,weekend
2025-01-18,deluxe,low,40,23,1,0.6248670083312556,137.7228927319805,3321.652223714788,1,weekend
2025-01-18,suite,low,20,13,0,0.6500407984713912,228.7391942017269,2432.0311010713917,7,weekend
2025-01-19,standard,low,80,78,2,1.0,107.16665077585175,8454.046291713867,7,weekend
2025-01-19,deluxe,low,40,27,1,0.7110979276026789,149.1496928058005,3686.520363051523,1,weekend
2025-01-19,suite,low,20,10,0,0.5187892455223477,225.16073973536098,2092.518397348541,14,weekend
2025-01-20,standard,low,80,69,3,0.9048293828893497,96.55803349367903,6449.190425794181,3,weekday
2025-01-20,deluxe,low,40,25,0,0.6407543337696223,150.56865344420262,3753.7632187648023,7,weekday
2025-01-20,suite,low,20,8,0,0.4349097206753547,217.12089478579972,2136.314731403358,7,weekday
2025-01-21,standard,low,80,54,1,0.6925888850470406,90.85111337065372,5070.868438926102,30,weekday
2025-01-21,deluxe,low,40,22,1,0.5799427210822826,145.6679656950858,3665.8208435872602,7,weekday
2025-01-21,suite,low,20,13,0,0.6535285313599105,231.82494294773966,4003.643591437576,3,weekday
2025-01-22,standard,low,80,46,2,0.610349432827935,82.26024212952609,3869.334000061333,3,weekday
2025-01-22,deluxe,low,40,24,1,0.6438864114156246,153.418250545322,2952.865684929119,3,weekday
